,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,cLI,Streak,Orig. Scheduled,Year
142,"Friday, Sep 5",STL,Home,SFG,L,2.0,8.0,9.0,70-72,4.0,17.0,Seymour,McGreevy,Beck,2:36,N,.24,-1,,2025
143,"Saturday, Sep 6",STL,Home,SFG,W-wo,3.0,2.0,9.0,71-72,4.0,17.0,O'Brien,Walker,None,2:35,N,.15,1,,2025
144,"Sunday, Sep 7",STL,Home,SFG,W,4.0,3.0,9.0,72-72,4.0,17.0,Gray,Teng,O'Brien,2:44,D,.22,2,,2025
145,"Monday, Sep 8",STL,@,SEA,L,2.0,4.0,9.0,72-73,4.0,17.0,Woo,Graceffo,Muñoz,2:20,N,.30,-1,,2025
146,"Tuesday, Sep 9",STL,@,SEA,L,3.0,5.0,9.0,72-74,4.0,17.0,Ferguson,Liberatore,Muñoz,2:36,N,.23,-2,,2025
147,"Wednesday, Sep 10",STL,@,SEA,L-wo,2.0,4.0,13.0,72-75,4.0,17.0,Hancock,Fernandez,None,3:44,N,.19,-3,,2025
148,"Friday, Sep 12",STL,@,MIL,L,2.0,8.0,9.0,72-76,4.0,18.0,Priester,Pallante,None,2:40,N,.18,-4,,2025
149,"Saturday, Sep 13",STL,@,MIL,L-wo,8.0,9.0,10.0,72-77,4.0,19.0,Uribe,Leahy,None,3:37,N,.15,-5,,2025
150,"Sunday, Sep 14",STL,@,MIL,W,3.0,2.0,9.0,73-77,4.0,18.0,Mikolas,Quintana,O'Brien,2:51,D,.12,1,,2025
151,"Monday, Sep 15",STL,Home,CIN,L,6.0,11.0,9.0,73-78,4.0,18.5,Phillips,Fernandez,None,2:53,N,.13,-1,,2025
152,"Tuesday, Sep 16",STL,Home,CIN,W,3.0,0.0,9.0,74-78,4.0,18.5,McGreevy,Abbott,O'Brien,2:15,N,.06,1,,2025
153,"Wednesday, Sep 17",STL,Home,CIN,L,2.0,6.0,9.0,74-79,4.0,19.5,Singer,Pallante,None,2:48,D,.05,-1,,2025
154,"Friday, Sep 19",STL,Home,MIL,W,7.0,1.0,9.0,75-79,4.0,19.0,Gray,Misiorowski,None,2:47,N,.02,1,,2025
155,"Saturday, Sep 20",STL,Home,MIL,L,2.0,3.0,10.0,75-80,4.0,20.0,Koenig,Romero,None,2:44,N,.01,-1,,2025
156,"Sunday, Sep 21",STL,Home,MIL,W,5.0,1.0,9.0,76-80,4.0,19.0,Liberatore,Gasser,None,2:28,D,.00,1,,2025
157,"Monday, Sep 22",STL,@,SFG,W,6.0,5.0,9.0,77-80,4.0,18.0,McGreevy,Verlander,Romero,2:33,N,.01,2,,2025
158,"Tuesday, Sep 23",STL,@,SFG,W,9.0,8.0,9.0,78-80,4.0,17.0,Svanson,Walker,O'Brien,3:08,N,.02,3,,2025
159,"Wednesday, Sep 24",STL,@,SFG,L,3.0,4.0,9.0,78-81,4.0,18.0,Buttó,O'Brien,Beck,2:28,N,.01,-1,,2025
160,"Friday, Sep 26",STL,@,CHC,L,1.0,12.0,9.0,78-82,4.0,18.0,Rea,Mikolas,None,2:39,D,.00,-2,,2025
161,"Saturday, Sep 27",STL,@,CHC,L,3.0,7.0,9.0,78-83,4.0,18.0,Taillon,McGreevy,None,2:36,D,.00,-3,,2025
162,"Sunday, Sep 28",STL,@,CHC,L,0.0,2.0,9.0,78-84,4.0,19.0,Assad,King,Wicks,2:02,D,.00,-4,,2025
1,"Thursday, Mar 28",STL,@,LAD,L,1.0,7.0,9.0,0-1,4.0,1.0,Glasnow,Mikolas,Yarbrough,2:23,D,.94,-1,,2024
2,"Friday, Mar 29",STL,@,LAD,L,3.0,6.0,9.0,0-2,5.0,2.0,Miller,Thompson,Phillips,2:23,N,.90,-2,,2024
3,"Saturday, Mar 30",STL,@,LAD,W,6.0,5.0,10.0,1-2,4.0,2.0,Helsley,Hurt,Gallegos,3:17,N,.85,1,,2024
4,"Sunday, Mar 31",STL,@,LAD,L,4.0,5.0,9.0,1-3,5.0,3.0,Crismatt,King,Hudson,2:41,D,.90,-1,,2024
5,"Monday, Apr 1",STL,@,SDP,W,6.0,2.0,9.0,2-3,5.0,3.0,Gibson,Waldron,None,2:45,N,.86,1,,2024
6,"Tuesday, Apr 2",STL,@,SDP,W,5.0,2.0,9.0,3-3,5.0,2.5,Mikolas,Darvish,Helsley,2:23,N,.90,2,,2024
7,"Wednesday, Apr 3",STL,@,SDP,L,2.0,3.0,9.0,3-4,5.0,2.5,Musgrove,Thompson,Suarez,2:47,D,.92,-1,,2024
8,"Thursday, Apr 4",STL,Home,MIA,W,8.0,5.0,9.0,4-4,5.0,2.5,Gallegos,Sánchez,Helsley,2:47,D,.91,1,,2024
